code_epci,libepci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
200000172,?,2,160,820,24276,56.34,65.62
200000438,?,4,194,2110,34667,26.94,48.45
200000545,?,1,129,352,17510,68.33,67.44
200000628,?,1,169,1047,24362,1.85,1.18
200000800,?,2,91,570,9554,51.45,57.14
200000925,?,4,154,579,20846,42.77,49.35
200000933,?,0,129,1118,12760,,
200004802,?,0,231,1858,27002,,
200005932,?,1,112,887,15157,35.68,37.5
200005957,?,0,127,694,11712,,
200006682,?,4,449,1752,47066,37.73,36.3
200006716,?,1,119,599,15176,28.48,34.45
200006930,?,3,77,398,4190,53.54,57.14
200006971,?,1,170,1219,14802,35.56,37.65
200007052,?,0,75,1068,4804,,
200007177,?,2,52,505,4068,39.75,51.92
200010650,?,1,436,1519,51216,25.47,22.94
200010700,?,1,484,2956,67004,0.43,0.83
200011773,?,2,408,897,58970,38.96,37.5
200011781,?,1,70,798,9066,23.72,32.86
200012060,?,0,85,583,5940,,
200013050,?,1,152,574,15192,3.5,3.29
200015162,?,0,64,590,4200,,
200016905,?,0,71,939,5946,,
200017341,?,2,154,820,14308,0.06,0.0
200017846,?,5,359,1214,51216,54.41,47.35
200018083,?,0,150,1258,19580,,
200018166,?,4,643,2926,93355,17.97,21.62
200018406,?,10,243,1756,30734,59.21,58.02
200018521,?,0,58,917,5465,,
200022986,?,0,309,1648,48796,,
200023075,?,0,181,1080,17302,,
200023125,?,3,237,418,40252,67.27,67.51
200023240,?,2,188,673,26908,37.27,40.43
200023299,?,1,120,293,7955,39.69,40.0
200023307,?,1,331,3237,41976,2.17,4.53
200023372,?,17,101,523,13704,97.81,100.0
200023414,?,8,2437,4662,383354,25.48,27.86
200023620,?,1,147,1312,21384,27.28,34.69
200023737,?,2,372,2956,35712,25.0,26.08
200023778,?,2,290,2239,53705,19.77,28.62
200023794,?,0,151,1365,18008,,
200023919,?,1,132,884,17793,23.36,25.76
200026573,?,1,189,960,18500,37.89,34.92
200027027,?,0,216,2139,27260,,
200027076,?,2,85,761,7280,25.01,28.24
200027100,?,1,288,1719,41113,19.37,18.4
200027183,?,4,1670,3263,255348,20.24,20.78
200027217,?,1,163,1729,13322,23.07,38.04
200027308,?,0,151,728,7970,,
200029734,?,0,200,2478,16802,,
200029999,?,1,120,601,13865,15.49,25.83
200030195,?,32,3134,5271,520528,71.21,71.73
200030385,?,6,744,3353,98836,31.93,34.27
200030435,?,0,128,1483,11840,,
200030526,?,0,152,529,19740,,
200030633,?,7,426,1557,58532,27.89,24.41
200030658,?,2,142,976,9268,17.03,21.13
200030674,?,3,529,4893,52300,39.01,33.46
200032514,?,0,52,670,4812,,
200033025,?,2,279,891,30292,39.91,39.43
200033090,?,0,128,434,22912,,
200033116,?,2,291,916,40730,29.97,29.55
200033173,?,1,125,507,21726,27.32,27.2
200033181,?,9,823,2437,121046,37.0,38.4
200033207,?,2,208,1124,28886,47.99,50.0
200033298,?,4,251,2838,25050,34.73,38.25
200033579,?,6,640,1469,90790,31.52,32.03
200033827,?,0,111,842,9505,,
200033868,?,0,125,991,13252,,
200034023,?,4,223,1812,30449,47.14,62.78
200034031,?,0,87,975,5541,,
200034049,?,0,93,1304,10234,,
200034056,?,2,120,1870,12718,18.02,30.83
200034064,?,1,66,806,3806,3.87,3.03
200034098,?,0,99,908,11713,,
200034130,?,2,120,512,21758,34.41,33.33
200034197,?,3,92,1477,10458,26.44,38.04
200034205,?,0,95,619,6518,,
200034270,?,6,178,552,22340,55.82,60.67
200034379,?,0,267,1527,27148,,
200034411,?,0,214,1353,20371,,
200034601,?,0,87,756,4468,,
200034635,?,0,162,515,24203,,
200034692,?,2,530,2965,68556,27.66,32.26
200034700,?,2,495,2451,56408,21.52,28.48
200034718,?,1,239,746,20950,38.6,45.61
200034726,?,0,150,1676,9826,,
200034825,?,2,244,2013,25952,38.02,41.8
200034833,?,4,221,2883,15367,22.96,29.41
200034874,?,0,75,423,5886,,
200034882,?,3,323,1685,41312,52.53,44.58
200034957,?,1,178,1342,27065,9.03,12.36
200035087,?,1,413,2673,59333,2.97,4.36
200035103,?,0,89,1112,5900,,
200035111,?,2,111,1197,10356,26.35,33.33
200035129,?,0,194,1332,16669,,
200035137,?,0,75,1053,5658,,
200035202,?,0,220,2018,21740,,
200035319,?,7,714,2359,112664,42.39,40.48
200035327,?,1,73,1052,4573,2.67,2.74
200035442,?,2,245,1057,25254,6.6,4.49
200035459,?,1,670,4029,77588,22.92,20.45
200035533,?,1,138,1511,11842,3.6,2.9
200035541,?,0,117,1720,9316,,
200035632,?,0,91,1139,5843,,
200035665,?,2,405,1357,58886,17.1,20.74
200035707,?,1,169,1237,14741,20.83,14.79
200035715,?,3,933,3160,106383,24.44,19.29
200035723,?,0,84,809,8287,,
200035731,?,2,709,3923,89026,33.52,37.52
200035756,?,0,89,1451,6370,,
200035764,?,3,133,682,15634,32.74,35.34
200035772,?,0,179,649,13500,,
200035814,?,2,371,3420,45880,20.82,28.57
200035848,?,0,66,686,4964,,
200035855,?,1,250,1800,23648,34.66,35.2
200035863,?,1,364,1228,30340,22.06,16.48
200035970,?,5,209,724,22787,27.83,24.88
200036069,?,0,145,1491,11302,,
200036077,?,0,469,2675,51480,,
200036135,?,1,167,973,15930,29.66,31.14
200036150,?,0,128,641,8027,,
200036465,?,8,258,658,34425,67.18,69.38
200036473,?,2,435,2775,54957,19.09,16.55
200036499,?,10,221,651,18264,77.4,79.64
200036523,?,0,188,3098,13736,,
200036549,?,0,216,951,17337,,
200036572,?,0,58,788,4024,,
200037059,?,0,275,1084,25416,,
200037133,?,4,259,1244,32379,41.33,46.72
200038958,?,0,143,924,9039,,
200038990,?,3,200,2149,25563,16.86,24.5
200039022,?,3,560,5082,79026,24.3,21.07
200039055,?,4,120,543,10557,27.86,18.33
200039063,?,0,89,370,6488,,
200039204,?,3,498,4279,47102,21.83,22.69
200039519,?,0,97,1557,6338,,
200039642,?,2,185,842,13676,28.46,31.35
200039709,?,0,99,586,5912,,
200039758,?,4,211,1322,17029,36.57,40.28
200039808,?,0,170,1412,13009,,
200039824,?,0,112,853,7468,,
200039832,?,0,86,1043,7494,,
200039857,?,2,619,2307,97510,36.39,31.34
200039865,?,5,1304,1801,179905,36.55,38.27
200039907,?,2,161,525,16322,12.9,18.01
200039915,?,7,973,1247,144906,48.41,50.98
200039931,?,7,152,854,7030,39.56,36.18
200039949,?,3,292,542,37348,50.93,44.86
200040038,?,0,109,975,11534,,
200040095,?,3,126,1688,16550,33.99,34.13
200040111,?,0,162,1199,15448,,
200040137,?,0,122,640,8126,,
200040178,?,3,125,412,15034,25.74,28.8
200040202,?,0,165,1683,21798,,
200040210,?,0,99,918,8325,,
200040244,?,2,556,5481,70772,18.22,22.48
200040251,?,0,161,970,21700,,
200040277,?,3,834,3314,98719,19.35,23.26
200040293,?,0,165,1299,11411,,
200040350,?,2,303,1918,30720,10.91,11.88
200040384,?,1,102,1204,11008,29.35,48.04
200040392,?,9,731,6544,88704,32.17,37.76
200040400,?,0,219,2874,17012,,
200040418,?,0,111,1929,7444,,
200040426,?,0,137,610,15032,,
200040442,?,1,383,2682,52154,36.99,36.03
200040459,?,1,479,2678,63076,30.99,26.72
200040475,?,1,170,1867,16888,12.33,9.41
200040491,?,2,397,2933,43078,19.36,24.43
200040509,?,2,145,913,14710,54.99,58.62
200040558,?,1,117,1435,9410,14.0,19.66
200040566,?,5,425,3162,46934,37.63,36.94
200040574,?,8,383,2136,51156,36.99,43.86
200040590,?,1,472,1366,55612,47.52,45.34
200040624,?,0,269,2604,25656,,
200040657,?,0,210,1061,16220,,
200040681,?,0,185,1808,21372,,
200040715,?,8,2395,3789,367920,35.82,37.49
200040764,?,0,212,1812,19990,,
200040772,?,2,87,1026,8294,20.12,17.24
200040798,?,0,138,386,8124,,
200040814,?,4,97,1304,8040,21.69,23.71
200040830,?,0,95,1503,7708,,
200040889,?,0,91,1266,7100,,
200040905,?,2,229,2282,25002,30.65,34.93
200040947,?,11,645,4743,93712,40.91,42.79
200040954,?,2,379,2755,46536,11.95,15.57
200041010,?,3,286,1660,33128,20.92,23.43
200041051,?,3,106,1229,6554,39.1,64.15
200041150,?,3,231,2520,18504,25.91,31.6
200041168,?,2,165,2555,12827,12.03,12.73
200041283,?,5,144,460,16383,44.99,47.92
200041317,?,7,776,3445,117070,25.77,25.13
200041325,?,7,203,606,34110,68.3,66.5
200041333,?,0,334,2915,32746,,
200041366,?,0,212,1317,32853,,
200041416,?,0,59,540,6505,,
200041440,?,1,109,1582,6900,0.94,0.0
200041465,?,0,162,1454,11105,,
200041499,?,0,212,1228,31393,,
200041515,?,5,304,720,35210,57.19,55.59
200041523,?,5,710,7357,58467,16.62,19.58
200041556,?,0,83,1158,5856,,
200041572,?,0,107,1761,10194,,
200041614,?,2,235,1387,30880,14.53,23.4
200041622,?,0,116,821,8269,,
200041630,?,8,779,2190,109567,45.79,46.6
200041689,?,6,553,3732,46200,19.79,24.59
200041721,?,1,209,1203,16312,5.64,3.83
200041762,?,3,393,1927,61796,33.89,39.69
200041853,?,0,85,443,5906,,
200041861,?,0,128,799,10561,,
200041879,?,0,147,702,12400,,
200041887,?,0,150,743,13897,,
200041960,?,7,512,2442,91336,26.57,27.54
200041994,?,4,205,1521,27128,34.81,39.51
200042000,?,1,147,928,13490,22.56,25.85
200042174,?,4,1036,5708,192768,20.6,22.1
200042182,?,0,171,2108,14738,,
200042190,?,9,780,2536,133549,32.7,39.49
200042372,?,2,115,1562,9526,26.95,29.57
200042414,?,1,91,1430,9175,9.69,14.29
200042463,?,0,81,528,5038,,
200042497,?,0,259,1157,36132,,
200042604,?,2,301,2249,40614,28.42,23.26
200042620,?,0,63,305,6804,,
200042646,?,3,182,1000,17329,32.44,37.91
200042653,?,0,171,641,17712,,
200042703,?,0,171,776,10926,,
200042729,?,1,182,1962,20864,26.98,34.07
200042901,?,2,315,1872,40358,35.34,37.46
200042935,?,5,420,1417,51585,46.42,48.57
200042943,?,0,83,487,5082,,
200042992,?,0,66,460,5253,,
200043016,?,1,143,1278,12128,23.17,37.06
200043065,?,3,174,1206,25728,20.31,40.8
200043081,?,2,183,1524,21135,22.87,31.15
200043123,?,12,580,4536,87796,32.16,31.03
200043156,?,1,288,1131,28042,25.57,24.65
200043172,?,8,788,5832,96919,29.69,29.57
200043263,?,5,230,1968,24430,30.72,37.83
200043321,?,3,328,2046,42056,15.66,21.04
200043354,?,1,147,1994,13594,21.47,25.17
200043396,?,10,623,2380,105886,56.66,59.07
200043404,?,2,144,874,23067,55.8,50.0
200043438,?,0,101,473,9264,,
200043495,?,3,287,945,38480,35.62,33.8
200043602,?,6,423,1465,55496,47.16,47.52
200043628,?,2,171,1310,24160,20.69,26.32
200043693,?,1,96,507,13884,29.82,25.0
200043776,?,0,229,1017,12318,,
200043974,?,2,323,2605,35531,24.05,30.65
200043982,?,0,165,2012,14828,,
200043990,?,4,236,3233,43214,11.59,15.68
200044014,?,2,135,1349,10024,34.51,41.48
200044030,?,7,244,1516,25192,39.1,43.03
200044048,?,4,283,1032,40556,39.26,33.22
200044253,?,2,177,690,11141,31.97,32.2
200044394,?,5,249,2145,19640,38.78,38.96
200044469,?,0,117,811,9524,,
200044618,?,6,724,1867,121996,32.94,36.33
200046977,?,29,4353,5760,749965,31.11,36.2
200048551,?,0,294,2699,26744,,
200049187,?,1,194,547,23240,39.67,51.55
200049211,?,12,243,862,18241,53.13,49.79
200049484,?,1,139,2137,10103,1.35,0.0
200054781,?,105,16644,8962,3381268,71.33,70.91
200054807,?,30,5782,21182,957729,28.13,29.71
200055481,?,2,158,1006,19066,31.33,26.58
200055655,?,12,1687,1742,312414,53.29,49.61
200055887,?,0,303,2789,33726,,
200056232,?,18,1353,1742,246630,64.99,59.42
200056380,?,10,813,756,135948,77.69,76.01
200057859,?,9,837,1255,161378,58.15,54.48
200057958,?,7,800,938,192852,66.67,64.62
200058360,?,5,180,1234,19806,35.17,47.22
200058477,?,5,624,812,142728,64.7,60.74
200058485,?,16,1157,1133,229870,90.96,84.01
200058519,?,12,1258,1302,273296,61.76,66.38
200058782,?,7,912,1028,194473,48.49,61.95
200059228,?,17,1484,1737,311248,69.71,69.41
200059392,?,0,501,3631,52230,,
200059400,?,4,186,1868,23222,33.78,36.56
200059889,?,25,1906,3359,374710,66.43,64.27
200060010,?,2,767,7165,120240,4.9,4.82
200065563,?,3,241,1517,28146,30.92,36.51
200065589,?,2,137,617,16788,29.36,37.23
200065597,?,2,1555,2633,219851,13.54,14.66
200065647,?,3,921,2340,116344,18.45,17.05
200065787,?,0,209,1607,23725,,
200065886,?,5,765,5862,102571,23.08,25.36
200065894,?,5,504,3564,60334,34.49,36.31
200065928,?,3,709,8063,94034,11.56,12.13
200066009,?,11,1462,2459,239352,39.94,34.82
200066017,?,0,168,2022,15272,,
200066025,?,0,215,770,31990,,
200066033,?,2,189,857,20495,16.57,26.98
200066041,?,3,358,1582,44469,19.38,20.95
200066058,?,4,437,1364,71889,31.55,34.78
200066108,?,0,204,835,15318,,
200066116,?,0,106,520,6133,,
200066124,?,4,514,6440,68697,26.88,31.52
200066132,?,0,120,548,8364,,
200066140,?,1,109,566,6199,0.48,0.0
200066157,?,3,214,805,21036,32.73,34.58
200066165,?,0,99,383,8340,,
200066173,?,1,100,495,7452,8.15,9.0
200066223,?,0,140,1361,9656,,
200066231,?,3,329,1848,35896,42.67,43.77
200066280,?,0,225,1097,25612,,
200066322,?,3,317,3227,38947,38.63,43.53
200066330,?,0,240,1964,23408,,
200066348,?,0,205,1178,13399,,
200066355,?,4,718,1848,122858,32.34,38.72
200066363,?,5,151,524,5872,43.03,39.07
200066371,?,11,516,5161,38346,26.36,35.66
200066389,?,1,615,5561,67442,14.86,17.89
200066405,?,1,348,2744,45237,1.4,0.0
200066413,?,5,429,4197,45926,29.62,37.76
200066462,?,1,300,3022,33359,14.98,19.0
200066512,?,9,224,2721,25936,33.2,45.98
200066520,?,0,119,1672,10526,,
200066553,?,0,122,1083,6944,,
200066561,?,0,131,1328,11474,,
200066587,?,0,321,2799,31150,,
200066603,?,2,86,1133,5978,30.42,56.98
200066637,?,4,204,1480,11626,33.13,36.27
200066645,?,1,71,924,4322,2.08,5.63
200066652,?,3,330,2729,42064,15.96,17.58
200066660,?,1,318,2383,21484,12.94,13.84
200066678,?,5,287,3136,18405,18.71,25.09
200066710,?,0,185,1493,21756,,
200066728,?,0,143,701,23584,,
200066744,?,5,404,4089,29230,25.13,25.0
200066751,?,0,138,1773,10219,,
200066769,?,0,171,2077,10842,,
200066777,?,0,375,3769,38060,,
200066785,?,0,323,3468,34856,,
200066793,?,3,1110,3831,198244,29.8,34.95
200066801,?,2,218,2719,23247,7.65,10.09
200066819,?,2,268,2258,28511,22.9,26.49
200066827,?,0,194,1714,23880,,
200066835,?,0,197,1227,20214,,
200066850,?,1,201,1119,18918,10.32,19.4
200066868,?,1,175,1795,21950,10.24,8.57
200066876,?,2,526,1188,65512,24.31,25.29
200066884,?,1,163,2201,21012,9.63,11.66
200066892,?,1,90,558,7093,28.85,23.33
200066918,?,8,1041,5373,115830,25.83,24.3
200066926,?,1,359,2775,34694,37.15,31.48
200066975,?,0,175,462,23693,,
200067023,?,1,390,4329,42842,12.41,16.92
200067031,?,0,187,2446,20576,,
200067049,?,0,129,744,5254,,
200067064,?,3,179,1165,15114,25.02,26.82
200067072,?,0,198,2429,30508,,
200067080,?,3,172,747,13939,16.15,22.09
200067106,?,16,2064,13239,281242,29.29,31.44
200067114,?,4,500,1625,60732,29.13,32.6
200067122,?,0,88,1377,9740,,
200067130,?,0,381,4276,30698,,
200067155,?,2,140,1007,12554,9.54,8.57
200067163,?,0,107,934,5462,,
200067171,?,0,178,1549,8625,,
200067189,?,1,175,2102,12346,1.7,0.0
200067197,?,0,89,1194,7160,,
200067205,?,2,1105,8764,169804,18.75,19.37
200067213,?,16,1818,3455,258257,40.53,35.04
200067221,?,0,323,4102,39199,,
200067239,?,0,321,2966,25832,,
200067247,?,1,189,2185,20616,20.57,26.98
200067254,?,3,954,3237,137906,21.24,27.88
200067262,?,6,329,2347,27018,42.2,43.16
200067288,?,0,198,1859,15319,,
200067296,?,0,338,3324,31530,,
200067304,?,2,198,1108,21962,5.04,5.05
200067320,?,0,72,567,6678,,
200067346,?,6,347,2826,62640,30.5,31.12
200067361,?,4,496,5160,38193,25.96,28.23
200067379,?,0,121,617,11306,,
200067429,?,2,136,843,10505,24.5,36.76
200067437,?,1,432,2376,42402,4.26,3.01
200067445,?,2,129,806,9098,36.22,28.68
200067452,?,1,154,537,7260,9.4,8.44
200067460,?,0,496,5807,49013,,
200067478,?,0,241,1938,18073,,
200067486,?,2,213,1056,22539,12.87,15.49
200067502,?,2,407,1229,44669,7.86,8.11
200067510,?,4,290,3296,22522,20.82,29.66
200067544,?,2,199,2552,14554,1.27,2.01
200067551,?,3,471,2023,84912,34.08,36.94
200067593,?,1,198,2365,11600,4.16,4.55
200067627,?,1,192,1346,25034,7.61,5.21
200067635,?,4,312,2152,52012,26.28,35.58
200067643,?,4,160,507,14609,42.37,40.62
200067650,?,0,170,761,20652,,
200067668,?,0,172,2108,18688,,
200067676,?,1,223,2607,24400,6.33,5.83
200067684,?,1,381,1171,42282,35.49,38.32
200067692,?,2,148,1267,8325,15.41,23.65
200067700,?,3,169,1347,17953,28.34,42.6
200067742,?,2,185,968,15392,44.44,35.14
200067759,?,5,188,1008,21166,27.17,25.53
200067767,?,0,112,898,8834,,
200067783,?,4,241,904,24593,28.76,27.39
200067791,?,3,253,1541,28914,32.37,33.99
200067817,?,2,356,2825,40696,32.29,23.6
